"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"24",112.581172623219,0.387754568379493,0,0,0,0,0,0,0,12.7653751689662,10.2255939542334,30.4880590765991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,0
"25",108.611072179397,0.26337483742983,0,0,0,0,0,0,0,14.546340637878,35.0472276886075,27.762725588129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0
"26",136.851202989956,5.18390570415151,0,0,0,0,0,0,1,14.2868484168379,22.5201344165503,19.6915244764849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0
"27",115.501051156272,0.781518735808588,0,0,0,0,0,0,1,16.6667049522182,56.9952113613509,27.3177839165337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0
"28",110.517168885774,0.535218121396524,0,0,0,0,0,0,1,14.1778035061713,46.7630594346157,17.8889509058738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"29",105.445456669003,0.619611653871745,0,0,0,0,0,0,1,14.4602664851711,31.7708188347564,15.6778858169192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0
"30",155.320719458071,8.32204251971732,0,0,0,0,0,0,1,14.7292574963864,32.2704746511467,20.7173480574614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0
"31",112.786732071946,0.581026656372801,0,0,0,0,0,0,1,14.4061846810922,26.9893547923952,13.4803473792532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0
"32",104.780191544032,0.00155331487644619,0,0,0,0,0,0,1,17.6648151928954,26.6604633015539,23.0290910096639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0
"33",115.106750759168,0.878318510348294,0,0,0,0,0,0,1,14.1984182646885,55.904177929875,13.9168536732609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0
"34",117.78182667601,1.34575646870112,0,0,0,0,0,0,0,15.1490900678496,17.6857124123666,21.8906981823245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0
"35",128.007474889045,1.26567379033901,0,0,0,0,0,0,0,9.48896842103798,28.395607050432,19.7944249940632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.3,0,0,0,18.8,0
"36",142.697500583976,4.20673707375254,0,0,0,0,0,0,0,10.8797237206942,22.5606923471574,16.2885833580476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2,0,0,0,38,0
